;word;part_of_speech;Pozitivitate;Negativitate;Furie;Anticipare;Dezgust;Frica;Bucurie;Tristete;Surpriza;Incredere;wn_synset_id
8803;prin surprindere;Expresie;0;0;0;0;0;0;0;0;1;0;ENG30-00483850-r
8804;pe nepusă masă;Expresie;0;0;0;0;0;0;0;0;1;0;ENG30-00483850-r
8815;băga în sperieți;Expresie;0;1;0;0;0;1;0;0;0;0;ENG30-01830965-v
8821;ţine la cineva;Expresie;1;0;0;0;0;0;1;0;0;1;DEX
8828;trafic de droguri;Expresie;0;1;0;0;1;1;0;0;0;0;ENG30-01114055-n
8829;trafic de stupefiante;Expresie;0;1;0;0;1;1;0;0;0;0;ENG30-01114055-n
8861;fi cu ochii;Expresie;0;0;0;1;0;0;0;0;0;0;ENG30-02455407-v
8866;milă față de sine;Expresie;0;1;0;0;0;0;0;1;0;0;ENG30-07538272-n
8905;apus de soare;Expresie;1;0;0;1;0;0;0;1;0;0;DEX
8907;armă de foc;Expresie;0;1;1;0;0;1;0;0;0;0;ENG30-03343853-n
8917;bătător la ochi;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8928;cădere nervoasă;Expresie;0;1;0;0;0;1;0;1;0;0;
8929;câine-câinește;Expresie;0;1;0;0;0;0;0;1;0;0;DEX
8931;câmp de luptă;Expresie;0;1;1;0;0;1;0;1;0;0;ENG30-08506641-n
8948;da chix;Expresie;0;1;1;0;1;0;0;1;0;0;DEX
8970;cu dragă inimă;Expresie;1;0;0;1;0;0;1;0;0;1;DEX
8971;cu forța;Expresie;0;1;1;0;0;1;0;0;0;0;DEX
8972;cunoscător;Expresie;1;0;0;0;0;0;0;0;0;1;DEX
8973;da de gol;Expresie;0;1;0;0;0;0;0;0;1;0;DEX
8974;da în judecată;Expresie;0;1;1;0;0;0;0;0;0;0;ENG30-02582450-v
8975;de comun acord;Expresie;1;0;0;0;0;0;0;0;0;1;DEX
8976;de bază;Expresie;0;0;0;0;0;0;0;0;0;1;DEX
8977;de rău augur;Expresie;0;1;0;1;0;1;0;0;0;0;DEX
8978;de bun augur;Expresie;1;0;0;1;0;0;1;0;0;0;DEX
8979;de mâna a doua;Expresie;0;1;0;0;1;0;0;0;0;0;DEX
8990;deranjat mintal;Expresie;0;1;0;0;1;1;0;0;0;0;
8999;domnișoară de onoare;Expresie;1;0;0;1;0;0;1;0;0;1;DEX
9001;dor de casă;Expresie;0;0;0;1;0;0;0;1;0;1;DEX
9003;drept de autor;Expresie;0;0;0;0;0;0;0;0;0;1;DEX
9005;durere de cap;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
9006;dușmănie de moarte;Expresie;0;1;1;0;0;1;0;0;0;0;
9015;face paradă de;Expresie;0;1;0;0;1;0;0;0;0;0;DEX
9016;face schimb;Expresie;0;0;0;0;0;0;0;0;0;1;DEX
9018;fără adăpost;Expresie;0;1;0;0;0;1;0;1;0;0;
9019;fără apărare;Expresie;0;1;0;0;0;1;0;1;0;0;
9020;fără cusur;Expresie;1;0;0;0;0;0;0;0;0;1;DEX
9021;sac fără fund;Expresie;0;1;0;0;1;0;0;0;0;0;DEX
9022;fără îndoială;Expresie;0;0;0;0;0;0;0;0;0;1;DEX
